observer,D,tau_char_eff,tau_rh,final_entropy,bounded,monotone
stationary,4,5.0,30.700000000000003,0.9802073410337314,True,True
stationary,8,4.08248290463863,30.1,0.9815288678867587,True,True
free_falling,4,2.0,12.9,0.9999999875218122,True,True
free_falling,8,1.6329931618554523,12.8,0.9999999885789029,True,True
accelerating,4,3.0,20.900000000000002,0.999854918906107,True,True
accelerating,8,2.4494897427831783,20.200000000000003,0.9998702376539612,True,True
